collected_at,oltp_pct,olap_pct,htap_pct,timeseries_pct,data_distribution_fairness,ideal_local_exec_pct,cross_node_exec_pct,mean_routability_score,dominant_workload,scale_recommendation
2026-09-16 04:00:00+00,29.40,36.10,27.20,7.30,0.82,48.20,44.70,0.58,OLAP,"OPTIMIZE_LOCALITY_FIRST: scatter-gather heavy (cross-node 44.70%); improve co-location / reference tables before scaling out."
2026-09-16 06:00:00+00,31.20,34.80,26.70,7.30,0.83,52.50,40.10,0.61,OLAP,"REBALANCE_FIRST: shard bytes are skewed across nodes (fairness 0.83); rebalance / fix the distribution key before adding nodes."
2026-09-16 08:00:00+00,33.10,32.90,26.50,7.50,0.86,58.30,35.60,0.67,OLTP,"SCALE_OUT: analytical/mixed demand with good routability and balanced shards; adding worker nodes should scale near-linearly."
2026-09-16 10:00:00+00,34.60,31.20,26.90,7.30,0.88,62.40,31.20,0.71,OLTP,"SCALE_OUT: analytical/mixed demand with good routability and balanced shards; adding worker nodes should scale near-linearly."
2026-09-16 12:00:00+00,36.20,29.40,27.10,7.30,0.89,66.70,27.80,0.75,OLTP,"SCALE_OUT: analytical/mixed demand with good routability and balanced shards; adding worker nodes should scale near-linearly."
2026-09-16 14:00:00+00,37.80,28.10,26.90,7.20,0.90,70.20,23.90,0.79,OLTP,"SCALE_OUT: analytical/mixed demand with good routability and balanced shards; adding worker nodes should scale near-linearly."
2026-09-16 16:00:00+00,39.10,26.80,27.20,6.90,0.91,72.60,21.50,0.81,OLTP,"SCALE_OUT: analytical/mixed demand with good routability and balanced shards; adding worker nodes should scale near-linearly."
2026-09-16 18:00:00+00,40.20,25.40,27.50,6.90,0.91,74.10,19.80,0.83,OLTP,"SCALE_OUT: analytical/mixed demand with good routability and balanced shards; adding worker nodes should scale near-linearly."
2026-09-16 20:00:00+00,39.60,25.80,27.80,6.80,0.92,75.90,18.10,0.85,OLTP,"SCALE_OUT: analytical/mixed demand with good routability and balanced shards; adding worker nodes should scale near-linearly."
2026-09-16 22:00:00+00,38.90,25.90,28.20,7.00,0.92,76.80,16.90,0.86,OLTP,"SCALE_OUT: analytical/mixed demand with good routability and balanced shards; adding worker nodes should scale near-linearly."
2026-09-17 00:00:00+00,38.70,25.60,28.60,7.10,0.93,77.60,15.80,0.88,OLTP,"SCALE_OUT: analytical/mixed demand with good routability and balanced shards; adding worker nodes should scale near-linearly."
2026-09-17 02:00:00+00,38.50,25.30,29.10,7.10,0.93,78.40,14.70,0.89,OLTP,"SCALE_OUT: analytical/mixed demand with good routability and balanced shards; adding worker nodes should scale near-linearly."
